content,title,address,roadaddress,latitude,longitude,score
관광지,갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,제주특별자치도 제주시 조천읍 남조로 1904,33.436024,126.671844,15774
관광지,서귀포 궁도장(천지정),제주특별자치도 서귀포시 강정동 1475,제주특별자치도 서귀포시 중산간서로 97-40,33.2592301,126.4980473,15771
관광지,까망고띠,제주특별자치도 제주시 조천읍 선흘리 2040-1,제주특별자치도 제주시 조천읍 와선로 254,33.4848623,126.7001912,15724
관광지,월대천,제주특별자치도 제주시 외도2동 232-1,제주특별자치도 제주시 월대6길 5,33.4935086,126.4360616,15707
음식점,맥파이 브루어리,제주특별자치도 제주시 회천동 1309,제주특별자치도 제주시 동회천1길 23,33.4647845,126.6329231,15703
관광지,반 고흐 인사이드,제주특별자치도 서귀포시 중문동 2700-2,제주특별자치도 서귀포시 중문관광로 222,33.241806,126.422676,15628
음식점,동복리해녀촌,제주특별자치도 제주시 구좌읍 동복리 1502-1,제주특별자치도 제주시 구좌읍 동복로 33,33.553608,126.70991,15627
음식점,블랑로쉐,제주특별자치도 제주시 우도면 연평리 712-1,제주특별자치도 제주시 우도면 우도해안길 783,33.515686,126.958084,15624
음식점,명품진전복해물탕,제주특별자치도 제주시 이도이동 1970-2,제주특별자치도 제주시 신설로 6,33.4939158,126.5415943,15568
관광지,엉알해안,제주특별자치도 제주시 한경면 고산리 3427-33,제주특별자치도 제주시 한경면 고산리 3427-33,33.29957022,126.1674244,15563
관광지,예래생태체험관,제주특별자치도 서귀포시 하예동 24-1,제주특별자치도 서귀포시 예래로 213,33.2444697,126.3909781,15480
음식점,연동마라도횟집,제주특별자치도 제주시 연동 262-10,제주특별자치도 제주시 신광로8길 3,33.4868335,126.4895539,15454
관광지,제주대학교 가는길,제주특별자치도 제주시 아라1동 1,제주특별자치도 제주시 제주대학로 102,33.455303,126.561615,15399
관광지,제주성지,제주특별자치도 제주시 오현길 61,제주특별자치도 제주시 오현길 61,33.510372,126.52607,15330
관광지,효명사,제주특별자치도 서귀포시 남원읍 하례리 산 45,제주특별자치도 서귀포시 남원읍 516로 815-41,33.3420367,126.5884214,15314
음식점,톰톰카레,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,33.53737,126.83743,15300
